fNAME,lNAME,gender,email,street_address,city,state_province,postal_code,country,password1,password2,phone_number
Christina,Binger,Female,christina_binger@bivgs.no,51 Kirkeveien, Fredrikstad, Viken,7731,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860123
Alex,Walekhwa,Male,alex_walekhwa@bivgs.no,130 E6, Ålesund, Innlandet,1468,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860124
Philip,Leo,Male,philip_leo@bivgs.no,65 Storgata, Tromsø, Agder,8845,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860125
Shoni,Hlongwane,Female,shoni_hlongwane@bivgs.no,55 E6, Drammen, Trøndelag,1406,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860126
Maria,Kedibone,Female,maria_kedibone@bivgs.no,22 Kirkeveien, Oslo, Troms og Finnmark,4952,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860127
Hannah,Hansen,Female,hannah_hansen@bivgs.no,141 Sørlandsveien, Bergen, Møre og Romsdal,6025,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860128
Ole,Johansen,Male,ole_johansen@bivgs.no,26 Sørlandsveien, Oslo, Troms og Finnmark,1746,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860129
Lars,Olsen,Male,lars_olsen@bivgs.no,22 Sørlandsveien, Stavanger, Rogaland,4676,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860130
Bj�rn,Larsen,Male,bj�rn_larsen@bivgs.no,31 Sørlandsveien, Tromsø, Møre og Romsdal,4558,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860131
Sofie,Jensen,Female,sofie_jensen@bivgs.no,145 Fjordveien, Drammen, Viken,8055,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860132
Emma,de Vries,Female,emma_de vries@bivgs.no,124 Fjordveien, Kristiansand, Vestland,6025,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860133
Solveig,Eliassen,Female,solveig_eliassen@bivgs.no,17 Kirkeveien, Ålesund, Agder,9993,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860134
Odd,Knudsen,Male,odd_knudsen@bivgs.no,82 Fjordveien, Bergen, Møre og Romsdal,6961,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860135
Grethe,Myklebust,Female,grethe_myklebust@bivgs.no,113 E6, Drammen, Viken,8137,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860136
Marco,Rossi,Male,marco_rossi@bivgs.no,120 Kirkeveien, Ålesund, Viken,9818,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860137
Ingrid,Eide,Female,ingrid_eide@bivgs.no,2 Fjordveien, Ålesund, Innlandet,9818,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860138
Hanna,Andresen,Female,hanna_andresen@bivgs.no,38 Kirkeveien, Trondheim, Viken,8084,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860139
Jorunn,Eliassen,Female,jorunn_eliassen@bivgs.no,2 E6, Bergen, Oslo,8627,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860140
Sebastian,Kristiansen,Male,sebastian_kristiansen@bivgs.no,17 Sørlandsveien, Oslo, Agder,5196,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860141
Camilla,Mikkelsen,Female,camilla_mikkelsen@bivgs.no,109 Sørlandsveien, Trondheim, Agder,4649,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860142
Prof,Birkeland,Male,prof_birkeland@bivgs.no,47 E6, Ålesund, Vestland,8462,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860143
Hanna,Isaksen,Female,hanna_isaksen@bivgs.no,97 E6, Drammen, Vestland,7476,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860144
Kristine,Berg,Female,kristine_berg@bivgs.no,87 Fjordveien, Oslo, Innlandet,5093,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860145
Carmen,Rodr�guez,Female,carmen_rodr�guez@bivgs.no,50 Sørlandsveien, Bergen, Rogaland,7221,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860146
Odd,Ahmed,Male,odd_ahmed@bivgs.no,124 E6, Stavanger, Troms og Finnmark,5061,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860147
Gunnar,Brekke,Male,gunnar_brekke@bivgs.no,29 Kirkeveien, Ålesund, Troms og Finnmark,2011,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860148
Gerd,Bakken,Female,gerd_bakken@bivgs.no,58 Sørlandsveien, Bergen, Møre og Romsdal,3547,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860149
Aisha,Nakaweesi,Female,aisha_nakaweesi@bivgs.no,107 Sørlandsveien, Bergen, Vestland,7962,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860150
Kato,Muwanguzi,Male,kato_muwanguzi@bivgs.no,95 Sørlandsveien, Haugesund, Oslo,1437,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860151
Nansubuga,Nakalema,Female,nansubuga_nakalema@bivgs.no,74 Fjordveien, Drammen, Viken,2517,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860152
Joakim,Edvardsen,Male,joakim_edvardsen@bivgs.no,110 E6, Haugesund, Trøndelag,6728,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860153
Don,Pettersen,Male,don_pettersen@bivgs.no,50 E6, Haugesund, Trøndelag,2517,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860154
Perry,R�nning,Female,perry_r�nning@bivgs.no,126 Storgata, Tromsø, Vestland,8627,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860155
Frank,Abrahamsen,Male,frank_abrahamsen@bivgs.no,79 E6, Trondheim, Møre og Romsdal,1537,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860156
Line,N�ss,Female,line_n�ss@bivgs.no,71 Sørlandsveien, Oslo, Viken,7483,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860157
Thor,Sandvik,Male,thor_sandvik@bivgs.no,83 Fjordveien, Stavanger, Innlandet,9901,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860158
Petter,Ellingsen,Male,petter_ellingsen@bivgs.no,102 E6, Drammen, Innlandet,5061,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860159
Sindre,Hansen,Male,sindre_hansen@bivgs.no,144 E6, Drammen, Innlandet,9818,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860160
