fNAME,lNAME,Age,gender,country_origin,residence,entryEXAM,prevEducation,studyHOURS,Python,DB,email,street_address,city,state_province,postal_code,country,password1,password2,phone_number,num,phone_number
Christina,Binger,44,Female,Norway,Private,72,Masters,158,59,55,christina_binger@bivgs.no,51 Kirkeveien, Fredrikstad, Viken,7731,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,123,+4774860123
Alex,Walekhwa,60,Male,Kenya,Private,79,Diploma,150,60,75,alex_walekhwa@bivgs.no,130 E6, Ålesund, Innlandet,1468,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,124,+4774860124
Philip,Leo,25,Male,Uganda,Sognsvann,55,High School,130,74,50,philip_leo@bivgs.no,65 Storgata, Tromsø, Agder,8845,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,125,+4774860125
Shoni,Hlongwane,22,Female,RSA,Sognsvann,40,High School,120,75,44,shoni_hlongwane@bivgs.no,55 E6, Drammen, Trøndelag,1406,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,126,+4774860126
Maria,Kedibone,23,Female,RSA,Sognsvann,65,High School,122,91,80,maria_kedibone@bivgs.no,22 Kirkeveien, Oslo, Troms og Finnmark,4952,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,127,+4774860127
Hannah,Hansen,25,Female,Norway,BI Residence,66,High School,130,88,59,hannah_hansen@bivgs.no,141 Sørlandsveien, Bergen, Møre og Romsdal,6025,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,128,+4774860128
Ole,Johansen,27,Male,Norway,BI Residence,90,Bachelor,156,80,91,ole_johansen@bivgs.no,26 Sørlandsveien, Oslo, Troms og Finnmark,1746,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,129,+4774860129
Lars,Olsen,29,Male,Norway,BI Residence,89,Bachelor,160,85,60,lars_olsen@bivgs.no,22 Sørlandsveien, Stavanger, Rogaland,4676,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,130,+4774860130
Bj�rn,Larsen,31,Male,Norway,BI Residence,88,Bachelor,156,80,89,bj�rn_larsen@bivgs.no,31 Sørlandsveien, Tromsø, Møre og Romsdal,4558,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,131,+4774860131
Sofie,Jensen,33,Female,Denmark,BI Residence,85,Bachelor,160,83,90,sofie_jensen@bivgs.no,145 Fjordveien, Drammen, Viken,8055,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,132,+4774860132
Emma,de Vries,34,Female,Netherlands,BI Residence,65,Bachelor,156,79,58,emma_de vries@bivgs.no,124 Fjordveien, Kristiansand, Vestland,6025,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,133,+4774860133
Solveig,Eliassen,36,Female,Norway,Private,70,Diploma,156,80,55,solveig_eliassen@bivgs.no,17 Kirkeveien, Ålesund, Agder,9993,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,134,+4774860134
Odd,Knudsen,38,Male,Norway,Private,91,Diploma,156,85,99,odd_knudsen@bivgs.no,82 Fjordveien, Bergen, Møre og Romsdal,6961,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,135,+4774860135
Grethe,Myklebust,40,Female,Norway,Private,77,Diploma,144,70,76,grethe_myklebust@bivgs.no,113 E6, Drammen, Viken,8137,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,136,+4774860136
Marco,Rossi,42,Male,Italy,Private,80,Bachelor,152,75,77,marco_rossi@bivgs.no,120 Kirkeveien, Ålesund, Viken,9818,Norway,@0BusiaKenya,@0BusiaKenya,+4774860,137,+4774860137
