email,fname,lname,role,password1,password2,phone_number,hireDate
luk_warlop@bivgs.com,Luk,Warlop,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860123,2015-01-05
paul_ehling@bivgs.com,Paul,Ehling,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860124,2015-01-12
ovidijus_stauskas@bivgs.com,Ovidijus,Stauskas,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860125,2015-01-19
michael_kisser@bivgs.com,Michael,Kisser,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860126,2015-01-26
ragnhild_silkoset@bivgs.com,Ragnhild,Silkoset,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860127,2015-02-02
christina_nerstad@bivgs.com,Christina,Nerstad,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860128,2015-02-09
pengfei_wang@bivgs.com,Pengfei,Wang,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860129,2015-02-16
christian_fieseler@bivgs.com,Christian,Fieseler,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860130,2015-02-23
jørgen_andersen@bivgs.com,Jørgen,Andersen,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860131,2015-03-02
christian_brinch@bivgs.com,Christian,Brinch,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860132,2015-03-09
lars_bruno@bivgs.com,Lars,Bruno,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860133,2015-03-16
fabio_canova@bivgs.com,Fabio,Canova,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860134,2015-03-23
jamie_cross@bivgs.com,Jamie,Cross,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860135,2015-03-30
eivind_eriksen@bivgs.com,Eivind,Eriksen,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860136,2015-04-06
jon_fiva@bivgs.com,Jon,Fiva,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860137,2015-04-13
njål_foldnes@bivgs.com,Njål,Foldnes,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860138,2015-04-20
simon_galle@bivgs.com,Simon,Galle,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860139,2015-04-27
benny_geys@bivgs.com,Benny,Geys,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860140,2015-05-04
steffen_grønneberg@bivgs.com,Steffen,Grønneberg,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860141,2015-05-11
ivar_gaasland@bivgs.com,Ivar,Gaasland,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860142,2015-05-18
robert_hansen@bivgs.com,Robert,Hansen,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860143,2015-05-25
tom_heggedal@bivgs.com,Tom,Heggedal,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860144,2015-06-01
leif_helland@bivgs.com,Leif,Helland,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860145,2015-06-08
runar_ile@bivgs.com,Runar,Ile,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860146,2015-06-15
alfonso_irarrazabal@bivgs.com,Alfonso,Irarrazabal,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860147,2015-06-22
daniel_kinn@bivgs.com,Daniel,Kinn,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860148,2015-06-29
david_kreiberg@bivgs.com,David,Kreiberg,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860149,2015-07-06
lin_ma@bivgs.com,Lin,Ma,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860150,2015-07-13
francisco_martinez@bivgs.com,Francisco,Martinez,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860151,2015-07-20
espen_moen@bivgs.com,Espen,Moen,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860152,2015-07-27
knut_mork@bivgs.com,Knut,Mork,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860153,2015-08-03
gisle_natvik@bivgs.com,Gisle,Natvik,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860154,2015-08-10
plamen_nenov@bivgs.com,Plamen,Nenov,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860155,2015-08-17
christian_riis@bivgs.com,Christian,Riis,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860156,2015-08-24
alessia_russo@bivgs.com,Alessia,Russo,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860157,2015-08-31
erling_larsen@bivgs.com,Erling,Larsen,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860158,2015-09-07
albert_satorra@bivgs.com,Albert,Satorra,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860159,2015-09-14
genaro_sucarrat@bivgs.com,Genaro,Sucarrat,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860160,2015-09-21
tommy_sveen@bivgs.com,Tommy,Sveen,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860161,2015-10-28
rune_sørensen@bivgs.com,Rune,Sørensen,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860162,2015-11-05
anders_tveit@bivgs.com,Anders,Tveit,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860163,2015-11-12
adrien_vigier@bivgs.com,Adrien,Vigier,teacher,@0BusiaKenya,@0BusiaKenya,'+4774860164,2015-11-19
stoyan_kudilicka,Stoyan,Kudilicka,teacher,@0BusiaKenya,@0BusiaKenya,+4774860165,2015-12-26
